Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
India,IND,Export value index (2000 = 100),TX.VAL.MRCH.XD.WD,,,,,,,,,,,,,,,,,,,,,20.2588056,19.57394294,22.08125193,21.58539664,22.30180772,21.56609477,22.17818605,26.65900569,31.22632984,37.45106691,42.40065315,41.82891176,46.31388437,50.90126548,59.04250424,72.27585165,78.11620296,82.60660275,78.89936832,84.16066334,100,102.3164611,116.2123961,139.1313684,180.8632988,235.0581534,287.4226332,354.3206235,459.7251488,389.1255873,534.1083973,714.7484503,700.4084541,742.9281276,761.4417416,632.2694275,624.2249798,706.1027954,766.36084,,
India,IND,Insurance and financial services (% of commercial service exports),TX.VAL.INSF.ZS.WT,,,,,,,,,,,,,,,,2.891154916,2.524270488,2.254364115,1.939746552,1.701099428,1.292772209,1.428901788,1.355297873,1.303745564,1.379079725,1.287503307,1.45607675,1.618536704,1.91941265,2.676314166,2.674902715,2.173806265,3.067916801,2.807954374,2.409287674,2.516342403,2.92431579,2.563870165,2.079279095,1.699159658,3.324636489,3.500757991,4.863602333,3.276929456,3.133998388,4.019403352,5.017153937,5.664128813,5.537929188,5.548619531,6.531494649,6.403614409,5.246770591,5.729494815,5.060903788,4.706800536,4.471146938,3.760465713,3.921611321,3.43807207,
India,IND,"Merchandise imports by the reporting economy, residual (% of total merchandise imports)",TM.VAL.MRCH.RS.ZS,4.983551169,6.488049519,10.12461059,9.451369526,10.52948029,10.89112482,11.15056558,9.806929582,12.21545137,18.45624581,12.77546087,9.385079683,11.83075657,10.45250156,15.62148243,10.71937443,8.129319019,10.82318652,12.57089657,14.38659731,12.74661276,14.2951402,12.94228347,16.18395553,16.4200751,15.54909584,11.3790967,14.59850988,14.31851732,15.47621296,15.28628889,21.12152135,8.413243186,9.13774116,4.818722012,10.38243047,4.778728621,0.220434916,0.165788804,0.134654127,23.40160208,27.89854542,28.664795,27.08261282,27.88709398,29.31559024,6.640615446,0.706941922,0.615325284,0.473066604,0.547570894,0.755066372,0.273841625,0.440953784,1.514439267,2.228351135,2.270593206,1.770313987,0.535419303,,
India,IND,Food imports (% of merchandise imports),TM.VAL.FOOD.ZS.UN,,,17.08001257,15.19791207,16.86303837,22.00813199,34.14901954,32.08561913,25.04454366,23.30304345,20.92414117,14.58376817,9.59593929,20.07248975,19.68763028,31.84554112,27.48079027,16.43469,13.84690967,8.918821306,8.98622238,8.540796165,,11.65884893,10.17999063,8.414072803,7.041373242,8.439771803,8.049490172,3.50929601,3.238412109,2.699533197,3.815987402,3.126318834,6.032387597,4.30779806,4.711903774,5.621810704,8.934854777,7.22927048,4.662568059,5.81003209,5.893395638,5.91148046,4.731834472,3.670243104,3.042741665,3.420520282,2.492371879,4.21172291,3.951091965,3.741041478,4.048245884,3.89521493,4.458509339,5.758037572,6.505293221,6.137617366,4.156488312,4.248260958,
India,IND,"Share of tariff lines with international peaks, all products (%)",TM.TAX.MRCH.IP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.57582,,94.22398,,,,93.96838,93.78449,,92.99548,90.01778,92.166,90.35592,90.33994,92.56118,13.92299,11.45146,14.42159,8.845916,8.005064,6.980305,8.434346,8.641136,8.576307,,5.802677,7.707811,8.288774,9.111423,,
India,IND,"International tourism, receipts for travel items (current US$)",ST.INT.TVLR.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2582000000,2831000000,2890000000,2949000000,3010000000,3460000000,3198000000,3102000000,4463000000,6170000000,7493000000,8634000000,10730000000,11832000000,11136000000,14490000000,17708000000,17972000000,18397000000,19700000000,21013000000,22427000000,27365000000,28568000000,,
India,IND,"Completeness of birth registration, urban (%)",SP.REG.BRTH.UR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.3,,,,,,,,83.2,,88.8,,,,
India,IND,"Population ages 80 and above, male (% of male population)",SP.POP.80UP.MA.5Y,0.25141208,0.257584672,0.255089163,0.247544431,0.238487811,0.227453096,0.250127062,0.270260493,0.283196148,0.284603017,0.27327538,0.287753055,0.294668318,0.295943426,0.293623249,0.287424764,0.310792969,0.329776653,0.34147642,0.343387032,0.334636338,0.353583187,0.36449856,0.367693188,0.363931884,0.353123867,0.374366614,0.38925405,0.395900997,0.392824382,0.379515498,0.401356266,0.415852288,0.422450713,0.421090776,0.411708272,0.436485775,0.454767821,0.465614529,0.468515378,0.463339867,0.490796372,0.511319759,0.524255656,0.529484001,0.527034811,0.558763452,0.583502071,0.600290866,0.608700911,0.60874884,0.646185969,0.676532248,0.699094576,0.71349238,0.71946009,0.760171706,0.792573987,0.815471943,0.828048321,
India,IND,"Population ages 55-59, male (% of male population)",SP.POP.5559.MA.5Y,2.847921306,2.856503835,2.878934403,2.906670011,2.929114656,2.940859007,2.924747125,2.904414796,2.885581457,2.874638572,2.874234308,2.864955501,2.865787079,2.873954445,2.885865322,2.899151372,2.892605085,2.890002327,2.892029735,2.899092857,2.910644278,2.904448005,2.903252091,2.906087126,2.911522486,2.918385278,2.90204199,2.889916558,2.882908656,2.882049969,2.887431867,2.882866693,2.885298799,2.891659508,2.897601727,2.900889254,2.888324081,2.877343997,2.87043911,2.870548022,2.879893976,2.883251462,2.89138615,2.915149445,2.970541194,3.064426126,3.179394956,3.328962848,3.491277481,3.636614785,3.749245397,3.818975634,3.86384032,3.894884489,3.927760236,3.970980988,4.010443223,4.055266545,4.104096862,4.154306082,
India,IND,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,56.49748004,56.17753236,55.80745463,55.46166361,55.24893881,55.21135053,55.09090078,55.15534672,55.34507283,55.57014408,55.78194745,55.85676846,55.95268174,56.07247186,56.23447551,56.44405309,56.49722595,56.62068516,56.78900152,56.9691436,57.1425581,57.18105454,57.22630775,57.28875038,57.39054366,57.54142108,57.55350984,57.6545119,57.81875323,58.01501187,58.22990246,58.37403848,58.5472698,58.75605047,59.012126,59.31657719,59.56507329,59.8572303,60.18600058,60.53971518,60.90862046,61.18898716,61.4993847,61.83084479,62.173897,62.52276485,62.80842981,63.10261029,63.40924784,63.74196691,64.10821053,64.429404,64.80551944,65.20848906,65.5959799,65.94416405,66.27426247,66.53818711,66.7667425,67.00381119,
